line	baselineClassification	classification	logical	remaining	steps	patterns	givens	stalledGrid	image	incorrectStep	incorrectElimination	incorrectCandidateLoss
1	Unique	Unique	false	55	28	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,NakedPair,HiddenPair,UniqueRectangle,FinnedXWing	4...3.......6..8..........1....5..9..8....6...7.2........1.27..5.3....4.9........	4...3.......6..8..........1....5..9..8....6...7.2........1927..513...942927.4.1..	failures/top1465-0001.png	-	-	-
2	Unique	Unique	false	62	7	HiddenSingle,LockedCandidatesPointing,HiddenPair	7.8...3.....2.1...5.........4.....263...8.......1...9..9.6....4....7.5...........	7.8...3.....2.1...5.........4.....263...8.......1...93.9.6....4....7.5...........	failures/top1465-0002.png	-	-	-
3	Unique	Unique	false	62	7	HiddenSingle,LockedCandidatesPointing,HiddenPair	7.8...3.....6.1...5.........4.....263...8.......1...9..9.2....4....7.5...........	7.8...3.....6.1...5.........4.....263...8.......1...93.9.2....4....7.5...........	failures/top1465-0003.png	-	-	-
4	Unique	Unique	true	0	84	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedTriple,ClaimingBoxLineReduction,NakedQuad	3.7.4...........918........4.....7.....16.......25..........38..9....5...2.6.....	317849265245736891869512473456398712732164958981257634174925386693481527528673149	-	-	-	-
5	Unique	Unique	true	0	78	HiddenSingle,LockedCandidatesPointing,NakedTriple,ClaimingBoxLineReduction,NakedQuad,NakedSingle,NakedPair	5..7..6....38...........2..62.4............917............35.8.4.....1......9....	582743619963821547174956238621479853348562791795318426217635984439287165856194372	-	-	-	-
6	Unique	Unique	true	0	78	HiddenSingle,LockedCandidatesPointing,NakedTriple,ClaimingBoxLineReduction,NakedQuad,NakedSingle,NakedPair	4..7..6....38...........2..62.5............917............43.8.5.....1......9....	482731659963852417175964238621579843358426791794318526217643985539287164846195372	-	-	-	-
7	Unique	Unique	false	62	7	HiddenSingle,LockedCandidatesPointing,HiddenPair	.4..1.2.......9.7..1..........43.6..8......5....2.....7.5..8......6..3..9........	.4..1.2.......9.7..1..........43.6..8......5....28....7.5..8......6..3..9........	failures/top1465-0007.png	-	-	-
8	Unique	Unique	true	0	87	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,NakedPair,HiddenPair	7.5.....2...4.1...3.........1.6..4..2...5...........9....37.....8....6...9.....8.	745896132928431756361725849519683427274159368836247591652378914483912675197564283	-	-	-	-
9	Unique	Unique	true	0	87	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,NakedPair,HiddenPair	......41.9..3.....3...5.....48..7..........62.1.......6..2....5.7....8......9....	857629413924318657361754928248167539793485162516932784689271345172543896435896271	-	-	-	-
10	Unique	Unique	true	0	87	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,NakedPair,HiddenPair	7.5.....2...4.1...3.........1.6..4..2...5...........9....37.....9....8...8.....6.	745896312928431756361527984519683427274159638836742591652378149193264875487915263	-	-	-	-
